melody16,#c686ca,#7853a7,#3c3e66,#5d91d8,#9dddf0,#eff5f5,#a3b0bb,#676b8b,#23232e,#4d3347,#8e516a,#ce6374,#f4ae70,#f1de82,#6fc453,#3d8367
vigarospalette,#f6e5d3,#c9c1b0,#c19e89,#97867d,#7c6664,#5b4d4c,#393939,#252528,#0d1013,#b3cac9,#799694,#556967,#8d4640,#833735,#642f2f,#492622
triton16,#000000,#2b2232,#473759,#98879f,#232433,#5f6f87,#829eb3,#93abc2,#1a2120,#424849,#5e7173,#c3b3c8,#866273,#a2878a,#b09ea0,#daced3
miri16,#1b1b17,#433226,#30408c,#575647,#3f6050,#8e3a47,#86553b,#6b6ab3,#6b7636,#a96960,#5e8b9b,#9c7829,#ac82b2,#ad9688,#d8b47a,#ecd9d6
tyadv16,#caa982,#aa8085,#856440,#4a473a,#b96f2c,#774024,#4e2823,#8b9a3b,#397a41,#2c403c,#629cc5,#67628a,#36445a,#707068,#33333a,#182029
nebulaspace,#0a401a,#6d852c,#b3a724,#e6eb6a,#ede8e1,#a7dbbb,#5d858c,#3d476e,#32244d,#27142b,#d6c2ba,#bf9684,#a66372,#733754,#451e3e,#2e0f29
8minutespast8,#483858,#185868,#187868,#28a388,#883028,#a84828,#b88a38,#864808,#986818,#b8a838,#487828,#186848,#b8b8b8,#787878,#484848,#181818
edgsoft16,#fefed7,#dbbc96,#ddac46,#c25940,#683d64,#9c6659,#88434f,#4d2831,#a9aba3,#666869,#51b1ca,#1773b8,#639f5b,#376e49,#323441,#161323
cartoonarmy,#201616,#37403b,#4d6a89,#93aae2,#975cac,#5b2a4d,#e53d63,#f8a095,#ffffff,#c1bfbe,#7d707b,#822525,#b07032,#e6c369,#728933,#aade6e
vaporhaze16,#00474f,#225054,#475b58,#6a645d,#8e6e61,#b17766,#d4826b,#f88c6e,#156d8e,#467b96,#6b869b,#8e8f9f,#b199a3,#d5a3a7,#f8adac,#ffbdbb
alia16,#1e2021,#512450,#605222,#47559d,#8f416a,#ca475a,#458855,#7f7266,#7a889a,#e166bc,#ab933e,#db8e81,#a7a8dd,#eeb487,#ccd2c9,#f8e6e6
aap16,#070708,#332222,#774433,#cc8855,#993311,#dd7711,#ffdd55,#ffff33,#55aa44,#115522,#44eebb,#3388dd,#5544aa,#555577,#aabbbb,#ffffff
oldsand16,#b4c9d8,#a5a3b3,#7e8e99,#4e5d66,#b0c09a,#8f9f91,#7a885e,#525747,#ddb9a1,#a0a294,#a3856d,#6f5f52,#d29a8d,#a0949a,#a06b63,#6e504d
invertcompatible,#234eaf,#11abbc,#72dfb5,#56a22f,#0b6a59,#1d1f26,#614224,#6e6f62,#91909d,#9ebddb,#e2e0d9,#f495a6,#a95dd0,#8d204a,#ee5443,#dcb150
jehkoba16,#000000,#98d9d3,#2bbcd9,#2980a6,#21a65d,#97bf30,#f0cd30,#f2ece6,#ff9959,#bf6060,#ffa6a6,#ff3366,#99457d,#404080,#6b86b3,#08091a
soldier16,#fffdda,#f1d29e,#b58c6e,#6b4a41,#3b2422,#665953,#a39d77,#ebdc6c,#d9903d,#a7512d,#6b2727,#3b1b23,#170f0d,#1e2f27,#51634d,#9dba6c
feelthesun16,#000000,#291a13,#724c30,#b68c56,#fff0a0,#463007,#755a0b,#ab811d,#5e260e,#a1430f,#ff8b18,#f6bf3a,#552012,#9a361e,#eb5731,#ee9852
agedterracotta16,#343128,#504939,#5c6852,#6c744c,#7d8249,#a39e55,#cab567,#773f35,#845640,#a07754,#bc9978,#d6c19d,#eadcc1,#f7f0dd,#fffbed,#ffffff
cottoncity,#834200,#323213,#2b6c21,#888d0d,#ffc249,#da6d00,#a22800,#640000,#000000,#1d1d67,#264bab,#409e9e,#a6da97,#ffffff,#9191aa,#555555
morganne16,#1f1f22,#a7954e,#a2651b,#694e4b,#9b796e,#582a34,#8f2a4d,#9d5d85,#bba7a4,#cac9ab,#545c89,#322b3b,#738650,#76b098,#523964,#5c85a8
kawaii16,#65471e,#b57075,#dcab80,#f8d8ab,#b8aaaa,#fff5f5,#fca5c2,#ec4646,#ffa322,#f9fa93,#7bc188,#8ed3f8,#5989a3,#d793fa,#74518e,#1d173c
versitle16,#0c0b0f,#af3f52,#5f3959,#2e2937,#905c9a,#d78d42,#93593b,#8d92ac,#d47fb0,#dddd50,#75b546,#4a6db2,#f3cb94,#eff0e9,#a7d6da,#56a1c8
colorquestr,#95cecd,#4c898b,#0e3e5b,#15894c,#95ce56,#eeee77,#f7a046,#d64b33,#5a340e,#b05670,#ffad93,#ffffff,#acaaac,#626562,#000000,#ad601a
bittersweet16,#1e1818,#534c56,#97978e,#dedcd3,#7ec0c2,#416f8a,#3f355b,#7d3b55,#b14852,#be8162,#d4a09d,#e1be88,#97b668,#568f73,#685d45,#543734
pastel16,#ea7286,#eab281,#e3e19f,#a9c484,#5d937b,#58525a,#a07ca7,#f4a4bf,#f5d1b6,#eeede3,#d6cec2,#a2a6a9,#777f8f,#a3b2d2,#bfded8,#bf796d
vic20,#000000,#ffffff,#a8734a,#e9b287,#772d26,#b66862,#85d4dc,#c5ffff,#a85fb4,#e99df5,#559e4a,#92df87,#42348b,#7e70ca,#bdcc71,#ffffb0
gopuri16,#e6e1c8,#b1bd8f,#ffb700,#ca7617,#f3b47c,#e7624b,#886475,#883129,#bd6dab,#683f94,#00b16b,#0a6753,#1098b1,#165d7b,#1b2f6c,#1d151b
b16,#fbffce,#b4dc25,#26a630,#5af0f7,#fbd439,#ff9cc9,#25e2c0,#08a0c0,#f09432,#f43666,#c635bc,#165a7d,#dc532d,#a12536,#6f288b,#260e3e
bly16,#333344,#444455,#774444,#445566,#bb5555,#667788,#996699,#448888,#dd8855,#77aa66,#66aa99,#99aabb,#ee99aa,#88bbbb,#eebb77,#eeddcc
skedd16,#8c1e2c,#dc443c,#ff8c66,#c75b38,#d66f24,#e4ba32,#21913b,#83b535,#ebd5bd,#66c3d9,#387cee,#3539a2,#998da2,#594e6f,#2b1a4b,#08050e
microroguelike,#222323,#43434f,#606070,#7e7e8f,#c2c2d1,#8c3f5d,#ba6156,#eb564b,#ffb5b5,#3ca370,#5dde87,#6476e8,#86a7ed,#f2a65e,#ffe478,#ffffeb
simplejpc16,#050403,#221f31,#543516,#9b6e2d,#e1b047,#f5ee9b,#fefefe,#8be1e0,#7cc264,#678fcb,#316f23,#404a68,#a14d3f,#a568d4,#9a93b7,#ea9182
sara98a,#f6f2ea,#ead2ba,#eeae8d,#de8165,#b6444c,#811830,#4c041c,#140008,#280c38,#3c1871,#69448d,#a175b2,#91aaca,#4c79a5,#144469,#041455
aero16,#f9fcff,#b7e8e8,#7fffee,#6dc9ff,#576ae5,#32c982,#98ea96,#ccffa3,#091e26,#48627c,#b3c4d6,#fff6d1,#ffed96,#ffb566,#9b2e8e,#5a1b91
disg16,#cdbeac,#7b7d6a,#4e554e,#352f28,#4a484a,#3c3b4a,#343234,#2a252a,#c5a46b,#9f673e,#7a5c54,#60484d,#ee999c,#8b484a,#613234,#080400
icecreamadventure,#3d322b,#6b3c1d,#0b5fa4,#8f2764,#606b67,#a719b1,#18b7b1,#a36c41,#eb4163,#949fa3,#d774b9,#dbc78c,#b1d499,#ff8a90,#f0b7c7,#f0eee2
regu16,#cd372f,#2840b7,#d3ab0c,#121c1c,#3d3934,#5e3c28,#864630,#4b6130,#627e64,#906243,#c67439,#ae8f58,#6fabbc,#afae9e,#cec1d0,#d8d8e5
prospeccal,#1b0f28,#4c6684,#83bfca,#f4f9e6,#233e38,#357b45,#8ab954,#f2e05a,#312039,#6e2745,#c6434e,#e7937e,#544242,#9e523b,#e98549,#8d8878
ramprainbow,#c64d43,#633324,#b16b33,#e7b860,#648228,#134332,#0c0c14,#5f2b44,#9c4c91,#e79299,#f7f9f0,#5bceb9,#427a9e,#343265,#7a6b79,#b3a3b1
notepad16pal,#373545,#616478,#e0e0e0,#aed6f5,#4a8264,#5db365,#ad8c4b,#c4b152,#5a6ead,#7c9fd9,#c9597a,#e8899e,#695661,#8f6f7a,#c4a082,#e5cea5
yunopc98,#000000,#99aabb,#ffffff,#773333,#bb7766,#eeaa99,#ffddcc,#5566cc,#bbccff,#222222,#444444,#556666,#339988,#ffbb66,#dd4455,#ff99aa
loophero16,#000000,#232323,#602217,#3a3f3f,#815938,#626439,#686f6f,#497aa7,#cd6627,#879b42,#af9156,#5ea2b0,#9fa089,#a4bec1,#dbce2d,#ffffff
cookie16,#1b1a1a,#4e3846,#7f3837,#1f6c37,#625c4c,#0a8a69,#ba554e,#609238,#7e7b71,#ab852e,#3bb2b8,#bd8b67,#bfb24c,#c9b49c,#8ef6c4,#e9d7bd
macintosh2,#ffffff,#ffff00,#ff6500,#dc0000,#ff0097,#360097,#0000ca,#0097ff,#00a800,#006500,#653600,#976536,#b9b9b9,#868686,#454545,#000000
ashorthike,#000000,#4a5933,#bdc039,#ebd477,#c0ac3f,#da8332,#ffb55c,#f2685b,#c1492c,#a73428,#572d42,#43a29c,#6cc7c0,#ebddda,#c9bcb4,#846e5a
skinjob16,#212225,#29272c,#3c3537,#494543,#58504b,#5e6259,#726b73,#907577,#7b8e95,#b18da1,#c2a783,#a9c2a4,#cec6c0,#e4d2c6,#f3e9c4,#fbede4
